trial: 0
RL-Glue Python Experiment Codec Version: 2.02 (Build 738)
	Connecting to 127.0.0.1 on port 4096...
Experiment 0	 Episode 266	 84 steps 	175.0 total reward	 1 natural end
Experiment 0	 Episode 267	 70 steps 	255.0 total reward	 1 natural end
Experiment 0	 Episode 268	 67 steps 	205.0 total reward	 1 natural end
Experiment 0	 Episode 269	 67 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 270	 66 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 271	 125 steps 	235.0 total reward	 1 natural end
Experiment 0	 Episode 272	 67 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 273	 65 steps 	45.0 total reward	 1 natural end
Experiment 0	 Episode 274	 48 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 275	 60 steps 	30.0 total reward	 1 natural end
Experiment 0	 Episode 276	 70 steps 	195.0 total reward	 1 natural end
Experiment 0	 Episode 277	 68 steps 	205.0 total reward	 1 natural end
Experiment 0	 Episode 278	 66 steps 	130.0 total reward	 1 natural end
Experiment 0	 Episode 279	 98 steps 	135.0 total reward	 1 natural end
Experiment 0	 Episode 280	 49 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 281	 72 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 282	 54 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 283	 78 steps 	240.0 total reward	 1 natural end
Experiment 0	 Episode 284	 91 steps 	290.0 total reward	 1 natural end
Experiment 0	 Episode 285	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 286	 67 steps 	80.0 total reward	 1 natural end
Experiment 0	 Episode 287	 67 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 288	 67 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 289	 67 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 290	 96 steps 	230.0 total reward	 1 natural end
Experiment 0	 Episode 291	 54 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 292	 67 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 293	 93 steps 	260.0 total reward	 1 natural end
Experiment 0	 Episode 294	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 295	 85 steps 	110.0 total reward	 1 natural end
Experiment 0	 Episode 296	 67 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 297	 67 steps 	30.0 total reward	 1 natural end
Experiment 0	 Episode 298	 66 steps 	35.0 total reward	 1 natural end
Experiment 0	 Episode 299	 40 steps 	45.0 total reward	 1 natural end
Experiment 0	 Episode 300	 56 steps 	55.0 total reward	 1 natural end
Experiment 0	 Episode 301	 63 steps 	80.0 total reward	 1 natural end
Experiment 0	 Episode 302	 61 steps 	185.0 total reward	 1 natural end
Experiment 0	 Episode 303	 61 steps 	150.0 total reward	 1 natural end
Experiment 0	 Episode 304	 92 steps 	190.0 total reward	 1 natural end
Experiment 0	 Episode 305	 75 steps 	235.0 total reward	 1 natural end
Experiment 0	 Episode 306	 61 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 307	 94 steps 	165.0 total reward	 1 natural end
Experiment 0	 Episode 308	 66 steps 	115.0 total reward	 1 natural end
Experiment 0	 Episode 309	 98 steps 	205.0 total reward	 1 natural end
Experiment 0	 Episode 310	 98 steps 	140.0 total reward	 1 natural end
Experiment 0	 Episode 311	 66 steps 	85.0 total reward	 1 natural end
Experiment 0	 Episode 312	 89 steps 	260.0 total reward	 1 natural end
Experiment 0	 Episode 313	 122 steps 	140.0 total reward	 1 natural end
Experiment 0	 Episode 314	 69 steps 	80.0 total reward	 1 natural end
Experiment 0	 Episode 315	 97 steps 	265.0 total reward	 1 natural end
Experiment 0	 Episode 316	 52 steps 	80.0 total reward	 1 natural end
Experiment 0	 Episode 317	 37 steps 	80.0 total reward	 1 natural end
Experiment 0	 Episode 318	 153 steps 	510.0 total reward	 1 natural end
Experiment 0	 Episode 319	 62 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 320	 64 steps 	110.0 total reward	 1 natural end
Experiment 0	 Episode 321	 95 steps 	150.0 total reward	 1 natural end
Experiment 0	 Episode 322	 64 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 323	 61 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 324	 70 steps 	140.0 total reward	 1 natural end
Experiment 0	 Episode 325	 52 steps 	55.0 total reward	 1 natural end
Experiment 0	 Episode 326	 93 steps 	425.0 total reward	 1 natural end
Experiment 0	 Episode 327	 67 steps 	110.0 total reward	 1 natural end
Experiment 0	 Episode 328	 93 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 329	 68 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 330	 61 steps 	90.0 total reward	 1 natural end
Experiment 0	 Episode 331	 61 steps 	65.0 total reward	 1 natural end
Experiment 0	 Episode 332	 50 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 333	 68 steps 	305.0 total reward	 1 natural end
Experiment 0	 Episode 334	 64 steps 	65.0 total reward	 1 natural end
Experiment 0	 Episode 335	 39 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 336	 53 steps 	110.0 total reward	 1 natural end
Experiment 0	 Episode 337	 50 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 338	 39 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 339	 67 steps 	160.0 total reward	 1 natural end
Experiment 0	 Episode 340	 59 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 341	 62 steps 	95.0 total reward	 1 natural end
Experiment 0	 Episode 342	 50 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 343	 66 steps 	140.0 total reward	 1 natural end
Experiment 0	 Episode 344	 113 steps 	395.0 total reward	 1 natural end
Experiment 0	 Episode 345	 62 steps 	95.0 total reward	 1 natural end
Experiment 0	 Episode 346	 50 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 347	 46 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 348	 68 steps 	90.0 total reward	 1 natural end
Experiment 0	 Episode 349	 92 steps 	330.0 total reward	 1 natural end
Experiment 0	 Episode 350	 73 steps 	110.0 total reward	 1 natural end
Experiment 0	 Episode 351	 81 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 352	 64 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 353	 72 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 354	 91 steps 	225.0 total reward	 1 natural end
Experiment 0	 Episode 355	 51 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 356	 50 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 357	 61 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 358	 61 steps 	65.0 total reward	 1 natural end
Experiment 0	 Episode 359	 106 steps 	430.0 total reward	 1 natural end
Experiment 0	 Episode 360	 56 steps 	135.0 total reward	 1 natural end
Experiment 0	 Episode 361	 61 steps 	215.0 total reward	 1 natural end
Experiment 0	 Episode 362	 65 steps 	110.0 total reward	 1 natural end
Experiment 0	 Episode 363	 59 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 364	 100 steps 	405.0 total reward	 1 natural end
Experiment 0	 Episode 365	 47 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 366	 52 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 367	 53 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 368	 46 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 369	 52 steps 	115.0 total reward	 1 natural end
Experiment 0	 Episode 370	 127 steps 	205.0 total reward	 1 natural end
Experiment 0	 Episode 371	 63 steps 	115.0 total reward	 1 natural end
Experiment 0	 Episode 372	 65 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 373	 96 steps 	50.0 total reward	 1 natural end
Experiment 0	 Episode 374	 161 steps 	585.0 total reward	 1 natural end
Experiment 0	 Episode 375	 70 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 376	 44 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 377	 104 steps 	390.0 total reward	 1 natural end
Experiment 0	 Episode 378	 49 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 379	 95 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 380	 163 steps 	255.0 total reward	 1 natural end
Experiment 0	 Episode 381	 39 steps 	105.0 total reward	 1 natural end
