trial: 0
RL-Glue Python Experiment Codec Version: 2.02 (Build 738)
	Connecting to 127.0.0.1 on port 4096...
Experiment 0	 Episode 315	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 316	 70 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 317	 95 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 318	 63 steps 	5.0 total reward	 1 natural end
Experiment 0	 Episode 319	 67 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 320	 64 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 321	 53 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 322	 70 steps 	50.0 total reward	 1 natural end
Experiment 0	 Episode 323	 100 steps 	225.0 total reward	 1 natural end
Experiment 0	 Episode 324	 39 steps 	35.0 total reward	 1 natural end
Experiment 0	 Episode 325	 65 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 326	 64 steps 	5.0 total reward	 1 natural end
Experiment 0	 Episode 327	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 328	 70 steps 	30.0 total reward	 1 natural end
Experiment 0	 Episode 329	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 330	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 331	 64 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 332	 66 steps 	30.0 total reward	 1 natural end
Experiment 0	 Episode 333	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 334	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 335	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 336	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 337	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 338	 64 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 339	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 340	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 341	 95 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 342	 51 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 343	 93 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 344	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 345	 95 steps 	205.0 total reward	 1 natural end
Experiment 0	 Episode 346	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 347	 69 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 348	 63 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 349	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 350	 95 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 351	 62 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 352	 62 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 353	 61 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 354	 91 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 355	 61 steps 	25.0 total reward	 1 natural end
Experiment 0	 Episode 356	 62 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 357	 62 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 358	 65 steps 	30.0 total reward	 1 natural end
Experiment 0	 Episode 359	 62 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 360	 36 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 361	 39 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 362	 63 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 363	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 364	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 365	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 366	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 367	 68 steps 	5.0 total reward	 1 natural end
Experiment 0	 Episode 368	 64 steps 	60.0 total reward	 1 natural end
Experiment 0	 Episode 369	 84 steps 	260.0 total reward	 1 natural end
Experiment 0	 Episode 370	 82 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 371	 66 steps 	110.0 total reward	 1 natural end
Experiment 0	 Episode 372	 39 steps 	5.0 total reward	 1 natural end
Experiment 0	 Episode 373	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 374	 93 steps 	380.0 total reward	 1 natural end
Experiment 0	 Episode 375	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 376	 84 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 377	 82 steps 	185.0 total reward	 1 natural end
Experiment 0	 Episode 378	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 379	 83 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 380	 39 steps 	80.0 total reward	 1 natural end
Experiment 0	 Episode 381	 67 steps 	105.0 total reward	 1 natural end
